rating_id,user_id,product_id,rating,review,timestamp
1,2247,509,5.0,Good product overall. Highly recommend.,2025-12-08T10:27:09.966065
2,4612,229,3.0,Good product overall. Decent value.,2025-09-03T10:27:09.966652
3,1005,931,4.3,Good product overall. Highly recommend.,2025-09-03T10:27:09.967070
4,3657,1171,4.2,Good product overall. Highly recommend.,2025-10-26T10:27:09.967441
5,3544,938,4.1,Good product overall. Highly recommend.,2025-11-13T10:27:09.967838
6,669,118,4.8,Good product overall. Highly recommend.,2025-08-02T10:27:09.968187
7,2989,389,3.5,Good product overall. Decent value.,2026-01-27T10:27:09.968525
8,2806,259,4.6,Good product overall. Highly recommend.,2025-07-08T10:27:09.968906
9,1726,1252,3.2,Good product overall. Decent value.,2025-10-26T10:27:09.969237
10,4066,1187,5.0,Good product overall. Highly recommend.,2026-05-29T10:27:09.969662
11,2909,1088,4.2,Good product overall. Highly recommend.,2025-10-19T10:27:09.970038
12,4712,653,3.7,Good product overall. Highly recommend.,2025-07-19T10:27:09.970373
13,3573,768,5.0,Good product overall. Highly recommend.,2026-02-17T10:27:09.970793
14,4844,1503,5.0,Good product overall. Highly recommend.,2025-11-05T10:27:09.971117
15,381,994,5.0,Good product overall. Highly recommend.,2026-01-14T10:27:09.971473
16,3912,913,5.0,Good product overall. Highly recommend.,2026-04-10T10:27:09.971864
17,279,557,4.5,Good product overall. Highly recommend.,2025-10-18T10:27:09.972196
18,454,959,3.6,Good product overall. Highly recommend.,2025-12-01T10:27:09.972534
19,150,1536,5.0,Good product overall. Highly recommend.,2025-12-03T10:27:09.972933
20,2311,755,3.5,Good product overall. Decent value.,2026-01-12T10:27:09.973272
21,4410,74,4.1,Good product overall. Highly recommend.,2025-12-22T10:27:09.973598
22,3033,271,4.2,Good product overall. Highly recommend.,2025-07-18T10:27:09.973985
23,4020,444,3.9,Good product overall. Highly recommend.,2026-01-20T10:27:09.974309
24,4503,1529,3.9,Good product overall. Highly recommend.,2025-12-15T10:27:09.974680
25,2760,1501,5.0,Good product overall. Highly recommend.,2025-07-05T10:27:09.975110
26,3198,970,5.0,Good product overall. Highly recommend.,2025-06-26T10:27:09.975507
27,1725,840,3.6,Good product overall. Highly recommend.,2025-12-14T10:27:09.975923
28,2225,1413,5.0,Good product overall. Highly recommend.,2026-06-04T10:27:09.976263
29,2736,1452,3.2,Good product overall. Decent value.,2025-08-20T10:27:09.976573
30,1768,700,5.0,Good product overall. Highly recommend.,2025-06-19T10:27:09.976923
31,1316,921,4.2,Good product overall. Highly recommend.,2025-10-08T10:27:09.977239
32,4326,268,4.3,Good product overall. Highly recommend.,2025-06-14T10:27:09.977537
33,3890,293,4.2,Good product overall. Highly recommend.,2025-12-20T10:27:09.977896
34,4158,1377,5.0,Good product overall. Highly recommend.,2025-09-24T10:27:09.978276
35,4550,124,4.7,Good product overall. Highly recommend.,2026-01-17T10:27:09.978746
36,3493,323,5.0,Good product overall. Highly recommend.,2026-05-25T10:27:09.979095
37,3357,481,5.0,Good product overall. Highly recommend.,2025-07-28T10:27:09.979406
38,255,1107,5.0,Good product overall. Highly recommend.,2026-03-02T10:27:09.979732
39,3565,952,4.9,Good product overall. Highly recommend.,2025-12-31T10:27:09.980058
40,4432,542,3.9,Good product overall. Highly recommend.,2025-08-02T10:27:09.980373
41,1611,585,4.8,Good product overall. Highly recommend.,2026-05-13T10:27:09.980672
42,3949,116,4.6,Good product overall. Highly recommend.,2025-11-14T10:27:09.981180
43,3542,211,4.0,Good product overall. Highly recommend.,2025-10-04T10:27:09.981652
44,3826,1016,5.0,Good product overall. Highly recommend.,2026-01-25T10:27:09.982063
45,2279,286,4.5,Good product overall. Highly recommend.,2025-11-02T10:27:09.982419
46,4623,590,5.0,Good product overall. Highly recommend.,2025-08-09T10:27:09.982859
47,3192,229,3.3,Good product overall. Decent value.,2025-06-22T10:27:09.983189
48,4768,878,4.2,Good product overall. Highly recommend.,2025-06-19T10:27:09.983501
49,1423,965,3.8,Good product overall. Highly recommend.,2026-03-07T10:27:09.983884
50,296,706,3.4,Good product overall. Decent value.,2025-07-30T10:27:09.984206
51,2857,152,4.4,Good product overall. Highly recommend.,2025-10-05T10:27:09.984520
52,508,1086,4.2,Good product overall. Highly recommend.,2025-09-18T10:27:09.984882
53,1706,291,3.1,Good product overall. Decent value.,2025-06-28T10:27:09.985197
54,174,95,4.5,Good product overall. Highly recommend.,2026-02-25T10:27:09.985580
55,2523,442,5.0,Good product overall. Highly recommend.,2025-08-13T10:27:09.986028
56,1159,38,3.5,Good product overall. Decent value.,2025-10-03T10:27:09.986370
57,1899,614,3.8,Good product overall. Highly recommend.,2025-10-27T10:27:09.986817
58,1439,1176,5.0,Good product overall. Highly recommend.,2026-01-14T10:27:09.987141
59,2306,1277,3.5,Good product overall. Decent value.,2026-06-04T10:27:09.987457
60,3108,185,4.5,Good product overall. Highly recommend.,2025-07-13T10:27:09.987970
61,966,722,3.6,Good product overall. Highly recommend.,2025-06-15T10:27:09.988390
62,4689,358,5.0,Good product overall. Highly recommend.,2025-11-02T10:27:09.988754
63,323,539,3.6,Good product overall. Highly recommend.,2026-04-12T10:27:09.989090
64,1276,1111,5.0,Good product overall. Highly recommend.,2025-08-03T10:27:09.989403
65,2156,194,4.4,Good product overall. Highly recommend.,2025-12-05T10:27:09.991586
66,2859,1209,3.5,Good product overall. Decent value.,2026-04-24T10:27:09.992058
67,1189,1339,3.2,Good product overall. Decent value.,2026-03-01T10:27:09.992439
68,4612,473,5.0,Good product overall. Highly recommend.,2026-05-06T10:27:09.992853
69,4938,753,5.0,Good product overall. Highly recommend.,2025-10-27T10:27:09.993180
70,3545,1393,5.0,Good product overall. Highly recommend.,2026-01-27T10:27:09.993496
71,1777,316,4.7,Good product overall. Highly recommend.,2026-01-08T10:27:09.993965
72,4569,387,5.0,Good product overall. Highly recommend.,2025-10-02T10:27:09.994298
73,2352,732,5.0,Good product overall. Highly recommend.,2025-09-07T10:27:09.994663
74,2457,1026,3.8,Good product overall. Highly recommend.,2025-10-06T10:27:09.995023
75,3927,1474,4.0,Good product overall. Highly recommend.,2025-07-19T10:27:09.995337
76,2659,1127,3.0,Good product overall. Decent value.,2026-02-01T10:27:09.995635
77,1469,20,5.0,Good product overall. Highly recommend.,2025-10-05T10:27:09.996004
78,650,280,5.0,Good product overall. Highly recommend.,2025-08-15T10:27:09.996318
79,612,419,4.1,Good product overall. Highly recommend.,2025-12-04T10:27:09.996622
80,2704,96,3.9,Good product overall. Highly recommend.,2026-03-17T10:27:09.996979
81,3634,870,5.0,Good product overall. Highly recommend.,2026-03-23T10:27:09.997293
82,2501,570,5.0,Good product overall. Highly recommend.,2025-06-11T10:27:09.997585
83,2016,1047,5.0,Good product overall. Highly recommend.,2026-03-24T10:27:09.997929
84,4575,809,4.8,Good product overall. Highly recommend.,2025-06-08T10:27:09.998254
85,4827,999,5.0,Good product overall. Highly recommend.,2025-09-17T10:27:09.998635
86,4314,1364,4.9,Good product overall. Highly recommend.,2026-01-19T10:27:09.999001
87,650,1218,5.0,Good product overall. Highly recommend.,2025-09-09T10:27:09.999313
88,3625,894,3.6,Good product overall. Highly recommend.,2025-09-29T10:27:09.999616
89,2107,984,4.3,Good product overall. Highly recommend.,2025-09-03T10:27:10.000052
90,684,786,3.4,Good product overall. Decent value.,2026-05-27T10:27:10.000382
91,3109,908,4.9,Good product overall. Highly recommend.,2026-03-13T10:27:10.000682
92,3090,1223,5.0,Good product overall. Highly recommend.,2025-11-22T10:27:10.001058
93,1497,643,5.0,Good product overall. Highly recommend.,2026-01-12T10:27:10.001364
94,2595,206,4.6,Good product overall. Highly recommend.,2026-04-28T10:27:10.001666
95,4209,1364,3.4,Good product overall. Decent value.,2026-05-27T10:27:10.002090
96,166,586,3.7,Good product overall. Highly recommend.,2025-06-10T10:27:10.002419
97,3770,17,4.8,Good product overall. Highly recommend.,2025-08-19T10:27:10.002898
98,1104,142,5.0,Good product overall. Highly recommend.,2026-01-13T10:27:10.003224
99,2036,511,4.4,Good product overall. Highly recommend.,2026-03-05T10:27:10.003526
100,2986,865,4.3,Good product overall. Highly recommend.,2026-04-15T10:27:10.003885
101,3242,597,3.9,Good product overall. Highly recommend.,2025-12-04T10:27:10.004199
102,246,651,3.5,Good product overall. Decent value.,2026-02-18T10:27:10.004499
103,1713,758,5.0,Good product overall. Highly recommend.,2025-07-02T10:27:10.004850
104,249,163,5.0,Good product overall. Highly recommend.,2025-12-22T10:27:10.005150
105,2476,1047,4.0,Good product overall. Highly recommend.,2025-10-22T10:27:10.005459
106,751,462,5.0,Good product overall. Highly recommend.,2025-10-04T10:27:10.005807
107,380,118,5.0,Good product overall. Highly recommend.,2026-05-03T10:27:10.006217
108,3778,1361,4.0,Good product overall. Highly recommend.,2026-02-28T10:27:10.006601
109,3695,189,3.8,Good product overall. Highly recommend.,2026-05-22T10:27:10.006978
110,1911,1024,2.7,Good product overall. Decent value.,2026-04-13T10:27:10.007298
111,3648,1446,3.7,Good product overall. Highly recommend.,2026-02-16T10:27:10.007596
112,4879,484,4.6,Good product overall. Highly recommend.,2025-07-16T10:27:10.007947
